Z propeno,F in,D/F,RR,QREF    ,QCOND   ,FTOPO   ,FFUNDO  ,YETANO  ,YPROPENO,YPROPANO,YPES,XETANO  ,XPROPENO,XPROPANO,TEMPTOPO,TEMPFUND,DELTAP  
0.409611055,1167.16,0.65,2.5,2221800.05,-2296046.35,36853.7483,19844.326,0.032552709,0.545882578,0.137565579,0.283999134,2.27E-12,8.04E-06,1.13E-05,320.859152,376.112268,0.17009
0.409611055,1167.16,0.65,3,2221799.99,-2296046.28,36853.7483,19844.326,0.032552709,0.545882579,0.137565579,0.283999133,2.27E-12,8.04E-06,1.13E-05,320.859151,376.112272,0.17009
0.409611055,1167.16,0.65,4,2221800.01,-2296046.3,36853.7483,19844.326,0.032552709,0.545882579,0.137565579,0.283999133,2.27E-12,8.04E-06,1.13E-05,320.859152,376.112271,0.17009
0.409611055,1296.84,0.25,1,892697.509,-991331.123,15749.4113,47223.7663,0.084619971,0.759769173,0.154983479,0.000627377,5.69E-06,0.21995948,0.067602611,306.561675,349.905716,0.157013
0.409611055,1296.84,0.25,1.5,892679.679,-991332.198,15749.4111,47223.7659,0.084619957,0.759764989,0.154987691,0.000627363,5.70E-06,0.219960894,0.06760121,306.561696,349.905308,0.1570138
0.409611055,1296.84,0.25,1.98,892679.684,-991332.194,15749.4111,47223.7659,0.084619957,0.75976498,0.154987699,0.000627364,5.70E-06,0.219960897,0.067601207,306.561696,349.905308,0.1570138
0.409611055,1296.84,0.25,2.5,892679.684,-991332.194,15749.4111,47223.7659,0.084619957,0.75976498,0.154987699,0.000627364,5.70E-06,0.219960897,0.067601207,306.561696,349.905308,0.1570138
0.409611055,1296.84,0.25,3,892679.684,-991332.194,15749.4111,47223.7659,0.084619957,0.75976498,0.154987699,0.000627364,5.70E-06,0.219960897,0.067601207,306.561696,349.905308,0.1570138
0.409611055,1296.84,0.25,4,892679.684,-991332.194,15749.4111,47223.7659,0.084619957,0.75976498,0.154987699,0.000627364,5.70E-06,0.219960897,0.067601207,306.561696,349.905308,0.1570138
0.409611055,1296.84,0.35,1,1288384.63,-1361706.24,22049.1758,40929.05,0.060454929,0.778172398,0.160689304,0.000683369,5.50E-08,0.126931194,0.051070863,309.103828,358.226416,0.1604635
0.409611055,1296.84,0.35,1.5,1288379.3,-1361707.91,22049.1754,40929.0501,0.060454929,0.778170576,0.160691117,0.000683378,5.51E-08,0.126932177,0.051069887,309.103844,358.226363,0.1604628
0.409611055,1296.84,0.35,1.98,1288379.32,-1361707.92,22049.1754,40929.0502,0.060454929,0.778170676,0.160691016,0.000683379,5.51E-08,0.126932124,0.051069941,309.103843,358.226365,0.1604628
0.409611055,1296.84,0.35,2.5,1288379.32,-1361707.92,22049.1754,40929.0502,0.060454929,0.778170677,0.160691015,0.000683379,5.51E-08,0.126932123,0.051069942,309.103843,358.226365,0.1604628
0.409611055,1296.84,0.35,3,1288379.32,-1361707.92,22049.1754,40929.0502,0.060454929,0.778170677,0.160691015,0.000683379,5.51E-08,0.126932123,0.051069942,309.103843,358.226365,0.1604628
0.409611055,1296.84,0.35,4,1288379.32,-1361707.92,22049.1754,40929.0502,0.060454929,0.778170677,0.160691015,0.000683379,5.51E-08,0.126932123,0.051069942,309.103843,358.226365,0.1604628
0.409611055,1296.84,0.4594,1,1734480.38,-1764064.71,28941.1179,34042.4699,0.046058469,0.766558279,0.186666035,0.000717217,4.32E-10,0.004940286,0.006786372,310.802383,372.897219,0.1641153
0.409611055,1296.84,0.4594,1.5,1734478.91,-1764063.85,28941.1179,34042.4697,0.046058469,0.766555688,0.186668278,0.000717565,4.33E-10,0.004942487,0.006784465,310.802408,372.897078,0.164113
0.409611055,1296.84,0.4594,1.98,1734478.88,-1764063.86,28941.1179,34042.4697,0.046058469,0.766555616,0.186668334,0.000717581,4.33E-10,0.004942548,0.006784417,310.802409,372.897075,0.1641128
0.409611055,1296.84,0.4594,2.5,1734478.87,-1764063.86,28941.1179,34042.4697,0.046058469,0.766555615,0.186668335,0.000717581,4.33E-10,0.004942549,0.006784417,310.802409,372.897075,0.1641128
0.409611055,1296.84,0.4594,3,1734478.87,-1764063.86,28941.1179,34042.4697,0.046058469,0.766555615,0.186668335,0.000717581,4.33E-10,0.004942549,0.006784417,310.802409,372.897075,0.1641128
0.409611055,1296.84,0.4594,4,1734478.87,-1764063.86,28941.1179,34042.4697,0.046058469,0.766555615,0.186668335,0.000717581,4.33E-10,0.004942549,0.006784417,310.802409,372.897075,0.1641128
0.409611055,1296.84,0.55,1,2092980.29,-2147562.36,34648.7028,28341.6434,0.038471389,0.645099649,0.162530091,0.153898871,1.25E-11,4.83E-05,6.68E-05,315.855077,374.880102,0.1693321
0.409611055,1296.84,0.55,1.5,2093041.24,-2147757.96,34648.7039,28341.6402,0.038471394,0.645099751,0.162530134,0.153898721,1.24E-11,4.83E-05,6.67E-05,315.85518,374.880029,0.1693328
0.409611055,1296.84,0.55,1.98,2093040.72,-2147757.04,34648.7039,28341.6403,0.038471393,0.645099743,0.162530133,0.153898731,1.24E-11,4.83E-05,6.67E-05,315.855181,374.880038,0.1693328
0.409611055,1296.84,0.55,2.5,2093040.72,-2147757.04,34648.7039,28341.6403,0.038471393,0.645099744,0.162530133,0.15389873,1.24E-11,4.83E-05,6.67E-05,315.855181,374.880037,0.1693328
